Variable,Description,Upgradable,Cost,Source
ID,,n,,
MSSubClass,Identifies the type of dwelling involved in the sale.,n,,
MSZoning,Identifies the general zoning classification of the sale.,n,,
LotFrontage,Linear feet of street connected to property,n,,
LotArea,Lot size in square feet,n,,
Street,Type of road access to property,n,,
Alley,Type of alley access to property,n,,
LotShape,General shape of property,n,,
LandContour,Flatness of the property,n,,
Utilities,Type of utilities available,n,,
LotConfig,Lot configuration,n,,
LandSlope,Slope of property,n,,
Neighborhood,Physical locations within Ames city limits,n,,
Condition1,Proximity to various conditions,n,,
Condition2,Proximity to various conditions (if more than one is present),n,,
BldgType,Type of dwelling,n,,
HouseStyle,Style of dwelling,tough,,
OverallQual,Rates the overall material and finish of the house,tough,,
OverallCond,Rates the overall condition of the house,tough,,
YearBuilt,Original construction date,n,,
YearRemodAdd,Remodel date (same as construction date if no remodeling or additions),n,,
RoofStyle,Type of roof,y,8022,https://www.homeadvisor.com/cost/roofing/install-a-roof/
RoofMatl,Roof material,y,8022,https://www.homeadvisor.com/cost/roofing/install-a-roof/
Exterior1st,Exterior covering on house,n,,
Exterior2nd,Exterior covering on house (if more than one material),n,,
MasVnrType,Masonry veneer type,n,,
MasVnrArea,Masonry veneer area in square feet,n,,
ExterQual,Evaluates the quality of the material on the exterior ,n,,
ExterCond,Evaluates the present condition of the material on the exterior,n,,
Foundation,Type of foundation,n,,
BsmtQual,Evaluates the height of the basement,n,,
BsmtCond,Evaluates the general condition of the basement,y,30000,https://smartasset.com/mortgage/the-average-cost-to-finish-a-basement
BsmtExposure,Refers to walkout or garden level walls,n,,
BsmtFinType1,Rating of basement finished area,y,37.5 / unfinished square ft,https://smartasset.com/mortgage/the-average-cost-to-finish-a-basement
BsmtFinSF1,Type 1 finished square feet,y,37.5 / unfinished square ft,https://smartasset.com/mortgage/the-average-cost-to-finish-a-basement
BsmtFinType2,Rating of basement finished area (if multiple types),y,37.5 / unfinished square ft,https://smartasset.com/mortgage/the-average-cost-to-finish-a-basement
BsmtFinSF2,Type 2 finished square feet,y,37.5 / unfinished square ft,https://smartasset.com/mortgage/the-average-cost-to-finish-a-basement
BsmtUnfSF,Unfinished square feet of basement area,y,37.5 / unfinished square ft,https://smartasset.com/mortgage/the-average-cost-to-finish-a-basement
TotalBsmtSF,Total square feet of basement area,n,,
Heating,Type of heating,y,7000,https://www.fixr.com/costs/gas-central-heating-installation
HeatingQC,Heating quality and condition,y,7000,https://www.fixr.com/costs/gas-central-heating-installation
CentralAir,Central air conditioning,y,5000,https://www.nerdwallet.com/blog/mortgages/cost-to-install-central-air/
Electrical,Electrical system,n,,
