,ColName,NumNA,PercentNA,Classy,First_val,Meaning
1,PoolQC,1453,99.5,factor,NA,No pool
2,MiscFeature,1406,96.3,factor,NA,"No miscellanious features not covered in other categories (elevator, 2nd garage, other, shed, tennis court)"
3,Alley,1369,93.8,factor,NA,No alley access
4,Fence,1179,80.8,factor,MnPrv,No fence
5,FireplaceQu,690,47.3,factor,NA,No fireplace
6,LotFrontage,259,17.7,integer,66,Description: Linear feet of street connected to property (Perhaps no street adjacent to property?)
7,GarageType,81,5.5,factor,Attchd,No garage
8,GarageYrBlt,81,5.5,integer,1966,No garage
9,GarageFinish,81,5.5,factor,Unf,No garage
10,GarageQual,81,5.5,factor,TA,No garage
11,GarageCond,81,5.5,factor,TA,No garage
12,BsmtExposure,38,2.6,factor,No,No basement
13,BsmtFinType2,38,2.6,factor,Unf,No basement
14,BsmtQual,37,2.5,factor,TA,No basement
15,BsmtCond,37,2.5,factor,TA,No basement
16,BsmtFinType1,37,2.5,factor,BLQ,No basement
17,MasVnrType,8,0.5,factor,None,No masonry vaneer type
18,MasVnrArea,8,0.5,integer,0,No masonry vaneer type
19,Electrical,1,0.1,factor,SBrkr,No meaning. Just missing.
